current square = ['1', '1', '1', '1', '0', '6', '0', '2', '0', '0', '0', '0', '2', '0', '3', '5', '3', '-1', '0', '1', '5', '4', '4', '6', '3']
new square = ['1', '1', '1', '1', '0', '6', '0', '2', '0', '0', '0', '0', '2', '0', '3', '5', '3', '-1', '0', '1', '5', '4', '4', '6', '3']
current square = ['1', '3', '3', '0', '0', '1', '0', '2', '0', '0', '0', '0', '1', '0', '0', '0', '0', '-3', '0', '2', '5', '4', '4', '5', '3']
new square = ['1', '3', '3', '0', '0', '1', '0', '2', '0', '0', '0', '0', '1', '0', '0', '0', '0', '-3', '0', '2', '5', '4', '4', '5', '3']
current square = ['1', '6', '6', '0', '0', '3', '2', '0', '0', '0', '1', '0', '0', '0', '2', '3', '1', '0', '0', '2', '5', '4', '4', '4', '2']
new square = ['1', '6', '6', '0', '0', '3', '2', '0', '0', '0', '1', '0', '0', '0', '2', '3', '1', '0', '0', '2', '5', '4', '4', '4', '2']
current square = ['1', '8', '8', '0', '0', '6', '3', '0', '2', '0', '0', '0', '0', '0', '1', '4', '1', '0', '0', '3', '6', '4', '4', '1', '1']
new square = ['1', '8', '8', '0', '0', '6', '3', '0', '2', '0', '0', '0', '0', '0', '1', '4', '1', '0', '0', '3', '6', '4', '4', '1', '1']
current square = ['1', '11', '10', '0', '0', '6', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '3', '4', '4', '0', '1']
new square = ['1', '11', '10', '0', '0', '6', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '3', '4', '4', '0', '1']
current square = ['1', '14', '13', '0', '0', '3', '0', '2', '0', '0', '2', '0', '0', '0', '2', '3', '1', '0', '0', '3', '5', '4', '4', '1', '2']
new square = ['1', '14', '13', '0', '0', '3', '0', '2', '0', '0', '2', '0', '0', '0', '2', '3', '1', '0', '0', '3', '5', '4', '4', '1', '2']
current square = ['1', '16', '15', '0', '0', '3', '0', '2', '0', '0', '1', '0', '0', '0', '1', '1', '1', '0', '0', '2', '2', '4', '4', '0', '2']
new square = ['1', '16', '15', '0', '0', '3', '0', '2', '0', '0', '1', '0', '0', '0', '1', '1', '1', '0', '0', '2', '2', '4', '4', '0', '2']
current square = ['1', '19', '18', '0', '0', '6', '0', '3', '2', '0', '2', '0', '2', '0', '0', '0', '0', '0', '0', '3', '0', '4', '4', '0', '7']
new square = ['1', '19', '18', '0', '0', '6', '0', '3', '2', '0', '2', '0', '2', '0', '0', '0', '0', '0', '0', '3', '0', '4', '4', '0', '7']
current square = ['1', '22', '21', '0', '0', '3', '0', '2', '0', '0', '2', '0', '0', '0', '2', '2', '1', '1', '0', '2', '5', '4', '4', '6', '2']
new square = ['1', '22', '21', '0', '0', '3', '0', '2', '0', '0', '2', '0', '0', '0', '2', '2', '1', '1', '0', '2', '5', '4', '4', '6', '2']
current square = ['1', '25', '24', '0', '0', '4', '0', '3', '0', '0', '0', '0', '3', '2', '3', '1', '1', '1', '-1', '1', '1', '4', '4', '2', '3']
new square = ['1', '25', '24', '0', '0', '4', '0', '3', '0', '0', '0', '0', '3', '2', '3', '1', '1', '1', '-1', '1', '1', '4', '4', '2', '3']
current square = ['1', '27', '26', '0', '0', '2', '2', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '4', '4', '4', '3', '3']
new square = ['1', '27', '26', '0', '0', '2', '2', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '4', '4', '4', '3', '3']
current square = ['1', '30', '29', '0', '0', '4', '3', '0', '0', '0', '0', '0', '3', '2', '3', '6', '4', '0', '0', '1', '0', '4', '4', '1', '3']
new square = ['1', '30', '29', '0', '0', '4', '3', '0', '0', '0', '0', '0', '3', '2', '3', '6', '4', '0', '0', '1', '0', '4', '4', '1', '3']
current square = ['1', '32', '31', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '0', '3', '1', '1', '0', '0', '1', '0', '4', '4', '1', '3']
new square = ['1', '32', '31', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '0', '3', '1', '1', '0', '0', '1', '0', '4', '4', '1', '3']
current square = ['1', '34', '33', '0', '0', '3', '0', '0', '0', '0', '1', '0', '0', '0', '2', '6', '2', '0', '0', '1', '5', '4', '4', '1', '2']
new square = ['1', '34', '33', '0', '0', '3', '0', '0', '0', '0', '1', '0', '0', '0', '2', '6', '2', '0', '0', '1', '5', '4', '4', '1', '2']
current square = ['1', '36', '35', '0', '0', '6', '0', '2', '0', '0', '2', '0', '2', '0', '2', '5', '3', '0', '0', '4', '6', '4', '4', '0', '5']
new square = ['1', '36', '35', '0', '0', '6', '0', '2', '0', '0', '2', '0', '2', '0', '2', '5', '3', '0', '0', '4', '6', '4', '4', '0', '5']
current square = ['1', '39', '37', '0', '0', '6', '0', '2', '2', '0', '2', '0', '2', '0', '1', '5', '8', '2', '-2', '6', '2', '4', '4', '6', '7']
new square = ['1', '39', '37', '0', '0', '6', '0', '2', '2', '0', '2', '0', '2', '0', '1', '5', '8', '2', '-2', '6', '2', '4', '4', '6', '7']
current square = ['1', '43', '41', '0', '0', '3', '0', '2', '0', '0', '4', '0', '0', '0', '2', '5', '9', '0', '0', '1', '5', '4', '4', '6', '2']
new square = ['1', '43', '41', '0', '0', '3', '0', '2', '0', '0', '4', '0', '0', '0', '2', '5', '9', '0', '0', '1', '5', '4', '4', '6', '2']
current square = ['1', '45', '43', '1', '0', '6', '0', '2', '0', '0', '0', '0', '2', '0', '3', '5', '15', '1', '-2', '1', '5', '4', '4', '6', '3']
new square = ['1', '45', '43', '1', '0', '6', '0', '2', '0', '0', '0', '0', '2', '0', '3', '5', '15', '1', '-2', '1', '5', '4', '4', '6', '3']
current square = ['1', '50', '48', '0', '0', '3', '2', '0', '0', '0', '1', '0', '0', '0', '2', '6', '17', '0', '0', '2', '5', '4', '4', '4', '2']
new square = ['1', '50', '48', '0', '0', '3', '2', '0', '0', '0', '1', '0', '0', '0', '2', '6', '17', '0', '0', '2', '5', '4', '4', '4', '2']
current square = ['1', '53', '51', '0', '0', '6', '0', '2', '1', '0', '0', '0', '0', '0', '1', '5', '9', '0', '0', '2', '5', '4', '4', '1', '1']
new square = ['1', '53', '51', '0', '0', '6', '0', '2', '1', '0', '0', '0', '0', '0', '1', '5', '9', '0', '0', '2', '5', '4', '4', '1', '1']
current square = ['1', '55', '53', '0', '0', '6', '0', '2', '0', '0', '0', '0', '1', '0', '3', '5', '14', '0', '0', '2', '5', '4', '4', '6', '3']
new square = ['1', '55', '53', '0', '0', '6', '0', '2', '0', '0', '0', '0', '1', '0', '3', '5', '14', '0', '0', '2', '5', '4', '4', '6', '3']
current square = ['2', '9', '9', '0', '0', '4', '3', '0', '3', '0', '3', '2', '2', '0', '0', '0', '0', '0', '0', '5', '4', '4', '4', '1', '7']
new square = ['2', '9', '9', '0', '0', '4', '3', '0', '3', '0', '3', '2', '2', '0', '0', '0', '0', '0', '0', '5', '4', '4', '4', '1', '7']
current square = ['2', '12', '12', '0', '0', '2', '2', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '1', '-1', '2', '1', '4', '4', '2', '1']
new square = ['2', '12', '12', '0', '0', '2', '2', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '1', '-1', '2', '1', '4', '4', '2', '1']
current square = ['2', '25', '24', '0', '0', '3', '0', '0', '0', '0', '3', '0', '3', '0', '0', '0', '0', '0', '0', '0', '2', '4', '4', '1', '5']
new square = ['2', '25', '24', '0', '0', '3', '0', '0', '0', '0', '3', '0', '3', '0', '0', '0', '0', '0', '0', '0', '2', '4', '4', '1', '5']
current square = ['2', '43', '42', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1', '0', '3', '4', '1', '0', '0', '4', '1', '4', '4', '2', '5']
new square = ['2', '43', '42', '0', '0', '0', '0', '3', '0', '0', '2', '1', '1', '0', '3', '4', '1', '0', '0', '4', '1', '4', '4', '2', '5']
